Episode,Points
56,52
82,48
153,47
179,54
192,53
210,51
322,48
362,50
410,52
422,52
455,52
605,52
631,48
656,51
762,51
846,48
921,53
1209,51
1260,43
1296,54
1372,52
1497,50
1589,54
1661,45
1694,52
1717,110
1730,45
1767,50
1821,52
1822,48
1860,52
1900,51
1905,47
2000,52
2016,54
2073,52
2084,54
2084,48
2095,52
2130,50
2215,49
2395,49
2599,50
2618,50
2690,51
2767,55
2862,47
2922,52
2925,48
2958,49
3155,44
3286,53
3450,49
3546,53
3632,52
3774,48
4013,50
4261,46
4304,52
4305,55
4319,52
4320,49
4442,51
4527,51
4744,50
4907,52
4923,53
4990,51
4990,50
5020,51
5088,45
5111,47
5128,53
5136,49
5175,51
5329,52
5368,50
5405,52
5445,53
5464,42
5758,47
5835,52
5861,52
6009,53
6216,55
6248,52
6288,48
6357,42
6384,51
6437,53
6502,52
6610,42
6643,43
6763,51
6766,52
6802,52
6818,49
6899,49
7039,51
7048,50
7068,53
7090,52
7113,48
7119,51
7299,50
7316,46
7413,50
7430,52
7600,49
7603,48
7713,51
7816,52
7823,51
7867,52
7892,50
7932,52
7960,48
7980,52
8059,51
8111,50
8200,50
8485,50
8557,45
8657,51
8719,52
8753,48
8773,48
8836,52
8880,49
8883,45
9019,51
9124,51
9174,54
9237,49
9307,42
9408,53
9486,55
9718,51
9821,51
9866,45
9922,50
10067,48
10076,49
10089,52
10255,52
10304,50
10332,51
10365,44
10519,51
10543,44
10596,51
10747,51
10796,50
10817,49
10825,51
10873,49
10990,53
11012,45
11139,50
11142,51
11197,52
11199,54
11202,54
11231,52
11285,51
11376,53
11413,49
11637,52
11690,51
11975,47
12000,53
12061,49
12234,47
12236,54
12408,46
12421,50
12498,51
12702,51
12879,47
12894,50
12901,47
12947,45
12963,52
13032,44
13107,47
13218,47
13218,46
13275,52
13418,50
13555,50
13653,47
13661,53
13828,53
13944,45
14016,50
14060,51
14087,49
14094,47
